Date,Close/Last,Volume,Open,High,Low
01/16/2026,$255.53,72142770,$257.90,$258.90,$254.93
01/15/2026,$258.21,39388560,$260.65,$261.04,$257.05
01/14/2026,$259.96,40019420,$259.49,$261.82,$256.71
01/13/2026,$261.05,45730850,$258.72,$261.81,$258.39
01/12/2026,$260.25,45263770,$259.16,$261.30,$256.80
01/09/2026,$259.37,39996970,$259.075,$260.21,$256.22
01/08/2026,$259.04,50419340,$257.02,$259.29,$255.70
01/07/2026,$260.33,48309800,$263.20,$263.68,$259.81
01/06/2026,$262.36,52352090,$267.00,$267.55,$262.12
01/05/2026,$267.26,45647190,$270.64,$271.51,$266.14
01/02/2026,$271.01,37838050,$272.255,$277.84,$269.00
12/31/2025,$271.86,27293640,$273.06,$273.68,$271.75
12/30/2025,$273.08,22139620,$272.81,$274.08,$272.28
12/29/2025,$273.76,23715210,$272.69,$274.36,$272.35
12/26/2025,$273.40,21521800,$274.16,$275.37,$272.86
12/24/2025,$273.81,17910570,$272.34,$275.43,$272.195
12/23/2025,$272.36,29642000,$270.84,$272.50,$269.56
12/22/2025,$270.97,36571830,$272.86,$273.88,$270.505
12/19/2025,$273.67,144632000,$272.145,$274.60,$269.90
12/18/2025,$272.19,51630720,$273.605,$273.63,$266.95
12/17/2025,$271.84,50138740,$275.01,$276.16,$271.64
12/16/2025,$274.61,37648630,$272.82,$275.50,$271.79
12/15/2025,$274.11,50409080,$280.15,$280.15,$272.84
12/12/2025,$278.28,39532890,$277.90,$279.22,$276.82
12/11/2025,$278.03,33247990,$279.095,$279.59,$273.81
12/10/2025,$278.78,33038320,$277.75,$279.75,$276.44
12/09/2025,$277.18,32193260,$278.16,$280.03,$276.92
12/08/2025,$277.89,38211830,$278.13,$279.6693,$276.15
12/05/2025,$278.78,47265850,$280.54,$281.14,$278.05
12/04/2025,$280.70,43989060,$284.095,$284.73,$278.59
12/03/2025,$284.15,43538690,$286.20,$288.62,$283.30
12/02/2025,$286.19,53669530,$283.00,$287.40,$282.6301
12/01/2025,$283.10,46587720,$278.01,$283.42,$276.14
11/28/2025,$278.85,20135620,$277.26,$279.00,$275.9865
11/26/2025,$277.55,33431420,$276.96,$279.53,$276.63
11/25/2025,$276.97,46914220,$275.27,$280.38,$275.25
11/24/2025,$275.92,65585800,$270.90,$277.00,$270.90
11/21/2025,$271.49,59030830,$265.95,$273.33,$265.67
11/20/2025,$266.25,45823570,$270.83,$275.43,$265.92
11/19/2025,$268.56,40424490,$265.525,$272.21,$265.50
11/18/2025,$267.44,45677280,$269.99,$270.71,$265.32
11/17/2025,$267.46,45018260,$268.815,$270.49,$265.73
11/14/2025,$272.41,47431330,$271.05,$275.96,$269.60
11/13/2025,$272.95,49602790,$274.11,$276.699,$272.09
11/12/2025,$273.47,48397980,$275.00,$275.73,$271.70
11/11/2025,$275.25,46208320,$269.81,$275.91,$269.80
11/10/2025,$269.43,41312410,$268.96,$273.73,$267.455
11/07/2025,$268.47,48227370,$269.795,$272.29,$266.77
11/06/2025,$269.77,51204050,$267.89,$273.40,$267.89
11/05/2025,$270.14,43683070,$268.61,$271.70,$266.93
11/04/2025,$270.04,49274850,$268.325,$271.486,$267.615
11/03/2025,$269.05,50194580,$270.42,$270.85,$266.25
10/31/2025,$270.37,86167120,$276.99,$277.32,$269.16
10/30/2025,$271.40,69886530,$271.99,$274.14,$268.48
10/29/2025,$269.70,51086740,$269.275,$271.41,$267.11
10/28/2025,$269.00,41534760,$268.985,$269.89,$268.15
10/27/2025,$268.81,44888150,$264.88,$269.12,$264.6501
10/24/2025,$262.82,38253720,$261.19,$264.13,$259.18
10/23/2025,$259.58,32754940,$259.94,$260.62,$258.0101
10/22/2025,$258.45,45015250,$262.65,$262.85,$255.43
10/21/2025,$262.77,46695950,$261.88,$265.29,$261.83
10/20/2025,$262.24,90483030,$255.885,$264.375,$255.63
10/17/2025,$252.29,49146960,$248.02,$253.38,$247.27
10/16/2025,$247.45,39776970,$248.25,$249.04,$245.13
10/15/2025,$249.34,33893610,$249.485,$251.82,$247.47
10/14/2025,$247.77,35477990,$246.60,$248.845,$244.70
10/13/2025,$247.66,38142940,$249.38,$249.69,$245.56
10/10/2025,$245.27,61999100,$254.94,$256.38,$244.00
10/09/2025,$254.04,38322010,$257.805,$258.00,$253.14
10/08/2025,$258.06,36496900,$256.52,$258.52,$256.11
10/07/2025,$256.48,31955780,$256.805,$257.40,$255.43
10/06/2025,$256.69,44664120,$257.99,$259.07,$255.05
10/03/2025,$258.02,49155610,$254.665,$259.24,$253.95
10/02/2025,$257.13,42630240,$256.575,$258.18,$254.15
10/01/2025,$255.45,48713940,$255.04,$258.79,$254.93
09/30/2025,$254.63,37704260,$254.855,$255.919,$253.11
09/29/2025,$254.43,40127690,$254.56,$255.00,$253.01
09/26/2025,$255.46,46076260,$254.095,$257.60,$253.78
09/25/2025,$256.87,55202080,$253.205,$257.17,$251.712
09/24/2025,$252.31,42303710,$255.22,$255.74,$251.04
09/23/2025,$254.43,60275190,$255.875,$257.34,$253.58
09/22/2025,$256.08,105517400,$248.30,$256.64,$248.12
09/19/2025,$245.50,163741300,$241.225,$246.30,$240.2106
09/18/2025,$237.88,44249580,$239.97,$241.20,$236.65
09/17/2025,$238.99,46508020,$238.97,$240.10,$237.7301
09/16/2025,$238.15,63421100,$237.175,$241.22,$236.3235
09/15/2025,$236.70,42699520,$237.00,$238.19,$235.03
09/12/2025,$234.07,55824220,$229.22,$234.51,$229.02
09/11/2025,$230.03,50208580,$226.875,$230.45,$226.65
09/10/2025,$226.79,83440810,$232.185,$232.42,$225.95
09/09/2025,$234.35,66313920,$237.00,$238.7805,$233.36
09/08/2025,$237.88,48999500,$239.30,$240.15,$236.34
09/05/2025,$239.69,54870400,$239.995,$241.32,$238.4901
09/04/2025,$239.78,47549430,$238.45,$239.8999,$236.74
09/03/2025,$238.47,66427840,$237.21,$238.85,$234.36
09/02/2025,$229.72,44075640,$229.25,$230.85,$226.97
08/29/2025,$232.14,39418440,$232.51,$233.38,$231.37
08/28/2025,$232.56,38074700,$230.82,$233.41,$229.335
08/27/2025,$230.49,31259510,$228.61,$230.90,$228.26
08/26/2025,$229.31,54575110,$226.87,$229.49,$224.69
08/25/2025,$227.16,30983130,$226.48,$229.30,$226.23
08/22/2025,$227.76,42477810,$226.17,$229.09,$225.41
08/21/2025,$224.90,30621250,$226.27,$226.52,$223.7804
08/20/2025,$226.01,42263870,$229.98,$230.47,$225.77
08/19/2025,$230.56,39402560,$231.275,$232.87,$229.35
08/18/2025,$230.89,37476190,$231.70,$233.12,$230.11
08/15/2025,$231.59,56038660,$234.00,$234.28,$229.335
08/14/2025,$232.78,51916280,$234.055,$235.12,$230.85
08/13/2025,$233.33,69878550,$231.07,$235.00,$230.43
08/12/2025,$229.65,55672300,$228.005,$230.80,$227.07
08/11/2025,$227.18,61806130,$227.92,$229.56,$224.76
08/08/2025,$229.35,113854000,$220.83,$231.00,$219.25
08/07/2025,$220.03,90224830,$218.875,$220.85,$216.58
08/06/2025,$213.25,108483100,$205.63,$215.38,$205.59
08/05/2025,$202.92,44155080,$203.40,$205.34,$202.16
08/04/2025,$203.35,75109300,$204.505,$207.88,$201.675
08/01/2025,$202.38,104434500,$210.865,$213.58,$201.50
07/31/2025,$207.57,80698430,$208.49,$209.84,$207.16
07/30/2025,$209.05,45512510,$211.895,$212.39,$207.72
07/29/2025,$211.27,51411720,$214.175,$214.81,$210.82
07/28/2025,$214.05,37858020,$214.03,$214.845,$213.06
07/25/2025,$213.88,40268780,$214.70,$215.24,$213.40
07/24/2025,$213.76,46022620,$213.90,$215.69,$213.53
07/23/2025,$214.15,46989300,$215.00,$215.15,$212.41
07/22/2025,$214.40,46404070,$213.14,$214.95,$212.2301
07/21/2025,$212.48,51377430,$212.10,$215.78,$211.63
07/18/2025,$211.18,48974590,$210.87,$211.79,$209.7045
07/17/2025,$210.02,48068140,$210.57,$211.80,$209.59
07/16/2025,$210.16,47490530,$210.295,$212.40,$208.64
07/15/2025,$209.11,42296340,$209.22,$211.89,$208.92
07/14/2025,$208.62,38840110,$209.925,$210.91,$207.54
07/11/2025,$211.16,39765810,$210.565,$212.13,$209.86
07/10/2025,$212.41,44443640,$210.505,$213.48,$210.03
07/09/2025,$211.14,48749370,$209.53,$211.33,$207.22
07/08/2025,$210.01,42848930,$210.10,$211.43,$208.45
07/07/2025,$209.95,50228980,$212.68,$216.23,$208.80
07/03/2025,$213.55,34955840,$212.145,$214.65,$211.8101
07/02/2025,$212.44,67941810,$208.91,$213.34,$208.14
07/01/2025,$207.82,78788870,$206.665,$210.1865,$206.1401
06/30/2025,$205.17,91912820,$202.01,$207.39,$199.2607
06/27/2025,$201.08,73188570,$201.89,$203.22,$200.00
06/26/2025,$201.00,50799120,$201.43,$202.64,$199.46
06/25/2025,$201.56,39525730,$201.45,$203.67,$200.6201
06/24/2025,$200.30,54064030,$202.59,$203.44,$200.20
06/23/2025,$201.50,55814270,$201.625,$202.30,$198.96
06/20/2025,$201.00,96813540,$198.235,$201.70,$196.855
06/18/2025,$196.58,45394690,$195.94,$197.57,$195.07
06/17/2025,$195.64,38856150,$197.20,$198.39,$195.21
06/16/2025,$198.42,43020690,$197.30,$198.685,$196.5636
06/13/2025,$196.45,51447350,$199.73,$200.37,$195.70
06/12/2025,$199.20,43904640,$199.08,$199.68,$197.3601
06/11/2025,$198.78,60989860,$203.50,$204.50,$198.41
06/10/2025,$202.67,54672610,$200.60,$204.35,$200.57
06/09/2025,$201.45,72862560,$204.39,$206.00,$200.02
06/06/2025,$203.92,46607690,$203.00,$205.70,$202.05
06/05/2025,$200.63,55221240,$203.50,$204.75,$200.15
06/04/2025,$202.82,43603990,$202.91,$206.24,$202.10
06/03/2025,$203.27,46381570,$201.35,$203.77,$200.955
06/02/2025,$201.70,35423290,$200.28,$202.13,$200.12
05/30/2025,$200.85,70819940,$199.37,$201.96,$196.78
05/29/2025,$199.95,51477940,$203.575,$203.81,$198.51
05/28/2025,$200.42,45339680,$200.59,$202.73,$199.90
05/27/2025,$200.21,56288480,$198.30,$200.74,$197.43
05/23/2025,$195.27,78432920,$193.665,$197.70,$193.46
